"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R3";"R_0805_2012Metric";2;"4.7kΩ";;;
2;"J1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04_Pin";;;
3;"C3";"C_0805_2012Metric";1;"4.7µF";;;
4;"C4,C1";"C_0805_2012Metric";2;"0.1µF";;;
5;"R1";"R_0805_2012Metric";1;"240Ω";;;
6;"R5";"R_0805_2012Metric";1;"150Ω";;;
7;"D1";"LED_0805_2012Metric";1;"LED";;;
8;"C2";"C_0805_2012Metric";1;"10µF";;;
9;"R2";"R_0805_2012Metric";1;"390Ω";;;
10;"U1";"SOT-223-3_TabPin2";1;"LM317_SOT-223";;;
11;"U3";"LGA12_STM";1;"VL53L4CDV0DH/1";;;
